title,artist,track_id,track_image,country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Jin Sheng Yuan,Kyara,4OHYme9ONdyhEJRbhfIZ6F,https://cdnimg.melon.co.kr/cm2/album/images/115/55/853/11555853_20240801113920_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.448,0.332,5.0,-12.316,0.0,0.0381,0.0214,0.0,0.423,0.268,133.903,audio_features,4OHYme9ONdyhEJRbhfIZ6F,spotify:track:4OHYme9ONdyhEJRbhfIZ6F,https://api.spotify.com/v1/tracks/4OHYme9ONdyhEJRbhfIZ6F,https://api.spotify.com/v1/audio-analysis/4OHYme9ONdyhEJRbhfIZ6F,182687.0,4.0
Kde jsi teď,"AJ Brix, Under My Pillow",7bBYmP7Wi3v3Orsp48WQ4c,https://cdnimg.melon.co.kr/cm2/album/images/115/55/848/11555848_20240801113844_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.644,0.785,6.0,-6.101,0.0,0.0565,0.0131,8.48e-05,0.333,0.744,139.952,audio_features,7bBYmP7Wi3v3Orsp48WQ4c,spotify:track:7bBYmP7Wi3v3Orsp48WQ4c,https://api.spotify.com/v1/tracks/7bBYmP7Wi3v3Orsp48WQ4c,https://api.spotify.com/v1/audio-analysis/7bBYmP7Wi3v3Orsp48WQ4c,154286.0,4.0
NISSAN ALTIMA,Doechii,0fsgieABBLYkx6rk5N3JUD,https://cdnimg.melon.co.kr/cm2/album/images/115/55/846/11555846_20240801113809_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.975,0.71,11.0,-5.14,0.0,0.198,0.0954,3e-05,0.0845,0.314,117.021,audio_features,0fsgieABBLYkx6rk5N3JUD,spotify:track:0fsgieABBLYkx6rk5N3JUD,https://api.spotify.com/v1/tracks/0fsgieABBLYkx6rk5N3JUD,https://api.spotify.com/v1/audio-analysis/0fsgieABBLYkx6rk5N3JUD,128132.0,4.0
Долоні на стелю,Гошуля,349DARyT8qSROTqXsHlwga,https://cdnimg.melon.co.kr/cm2/album/images/115/55/845/11555845_20240801113801_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.726,0.332,0.0,-12.144,0.0,0.156,0.724,0.026,0.101,0.35,86.03,audio_features,349DARyT8qSROTqXsHlwga,spotify:track:349DARyT8qSROTqXsHlwga,https://api.spotify.com/v1/tracks/349DARyT8qSROTqXsHlwga,https://api.spotify.com/v1/audio-analysis/349DARyT8qSROTqXsHlwga,180316.0,4.0
du tust mir nicht gut :/,"Jumpa, Sampagne, Madeline Juno",4ub93YFTVK5FKO7imGkeZ1,https://cdnimg.melon.co.kr/cm2/album/images/115/55/842/11555842_20240801113752_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.771,0.84,0.0,-7.17,1.0,0.0503,0.306,0.314,0.0817,0.424,131.054,audio_features,4ub93YFTVK5FKO7imGkeZ1,spotify:track:4ub93YFTVK5FKO7imGkeZ1,https://api.spotify.com/v1/tracks/4ub93YFTVK5FKO7imGkeZ1,https://api.spotify.com/v1/audio-analysis/4ub93YFTVK5FKO7imGkeZ1,152044.0,4.0
MI CASA SU CASA,Josef Aron,1k3IsbfJbkuEzhGJ14vtvy,https://cdnimg.melon.co.kr/cm2/album/images/115/55/840/11555840_20240801113729_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.762,0.539,3.0,-9.906,0.0,0.194,0.239,0.00121,0.138,0.645,97.94,audio_features,1k3IsbfJbkuEzhGJ14vtvy,spotify:track:1k3IsbfJbkuEzhGJ14vtvy,https://api.spotify.com/v1/tracks/1k3IsbfJbkuEzhGJ14vtvy,https://api.spotify.com/v1/audio-analysis/1k3IsbfJbkuEzhGJ14vtvy,150612.0,4.0
Nun facc p’ te,ORO,4eZqeyvUvvniR5KBqWi8H2,https://cdnimg.melon.co.kr/cm2/album/images/115/55/823/11555823_20240801113623_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.709,0.753,6.0,-7.448,1.0,0.0633,0.46,0.0133,0.117,0.242,127.015,audio_features,4eZqeyvUvvniR5KBqWi8H2,spotify:track:4eZqeyvUvvniR5KBqWi8H2,https://api.spotify.com/v1/tracks/4eZqeyvUvvniR5KBqWi8H2,https://api.spotify.com/v1/audio-analysis/4eZqeyvUvvniR5KBqWi8H2,188312.0,4.0
Stasera,Doxa,5e0G8Df1EeBCuP3HiBGsJB,https://cdnimg.melon.co.kr/cm2/album/images/115/55/820/11555820_20240801113614_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.529,0.749,7.0,-7.25,0.0,0.391,0.367,0.0,0.381,0.488,120.562,audio_features,5e0G8Df1EeBCuP3HiBGsJB,spotify:track:5e0G8Df1EeBCuP3HiBGsJB,https://api.spotify.com/v1/tracks/5e0G8Df1EeBCuP3HiBGsJB,https://api.spotify.com/v1/audio-analysis/5e0G8Df1EeBCuP3HiBGsJB,150961.0,4.0
Inquérito ,"DEGE, Oneblack, Nk no Beat",45ClDNSJZdW6GKQdflLmTU,https://cdnimg.melon.co.kr/cm2/album/images/115/55/810/11555810_20240801113522_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.842,0.414,7.0,-9.876,1.0,0.803,0.397,0.0,0.0835,0.631,124.822,audio_features,45ClDNSJZdW6GKQdflLmTU,spotify:track:45ClDNSJZdW6GKQdflLmTU,https://api.spotify.com/v1/tracks/45ClDNSJZdW6GKQdflLmTU,https://api.spotify.com/v1/audio-analysis/45ClDNSJZdW6GKQdflLmTU,130570.0,4.0
Meio Do Kaos,"$oMBERKAo$, GD Mc VQTT, Murilean",3LedEizh19IVuTgYokAV6b,https://cdnimg.melon.co.kr/cm2/album/images/115/55/793/11555793_20240801113336_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.608,0.503,11.0,-11.882,0.0,0.0571,0.0336,0.00147,0.11,0.307,109.013,audio_features,3LedEizh19IVuTgYokAV6b,spotify:track:3LedEizh19IVuTgYokAV6b,https://api.spotify.com/v1/tracks/3LedEizh19IVuTgYokAV6b,https://api.spotify.com/v1/audio-analysis/3LedEizh19IVuTgYokAV6b,150254.0,4.0
