title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
체념 後,6Dk5EZXt71CKVbO8RD2gMV,0.617,0.614,8,-4.051,1,0.0333,0.213,0.0,0.151,0.247,135.798,audio_features,6Dk5EZXt71CKVbO8RD2gMV,spotify:track:6Dk5EZXt71CKVbO8RD2gMV,https://api.spotify.com/v1/tracks/6Dk5EZXt71CKVbO8RD2gMV,https://api.spotify.com/v1/audio-analysis/6Dk5EZXt71CKVbO8RD2gMV,250640,4
Love Lane,3OxSOsN5UwdRM36KJPLqHK,0.733,0.589,10,-4.003,1,0.0372,0.554,0.0,0.095,0.495,90.02,audio_features,3OxSOsN5UwdRM36KJPLqHK,spotify:track:3OxSOsN5UwdRM36KJPLqHK,https://api.spotify.com/v1/tracks/3OxSOsN5UwdRM36KJPLqHK,https://api.spotify.com/v1/audio-analysis/3OxSOsN5UwdRM36KJPLqHK,201747,4
여자,4rbMCf0AKkx2QaarW4COPD,0.55,0.62,5,-5.243,0,0.044,0.585,0.0,0.0945,0.136,139.927,audio_features,4rbMCf0AKkx2QaarW4COPD,spotify:track:4rbMCf0AKkx2QaarW4COPD,https://api.spotify.com/v1/tracks/4rbMCf0AKkx2QaarW4COPD,https://api.spotify.com/v1/audio-analysis/4rbMCf0AKkx2QaarW4COPD,277747,4
More Than Words,4zPwfUFU8M6W6irqiTMIK1,0.757,0.857,0,-5.57,1,0.0262,0.387,2.53e-05,0.118,0.62,111.999,audio_features,4zPwfUFU8M6W6irqiTMIK1,spotify:track:4zPwfUFU8M6W6irqiTMIK1,https://api.spotify.com/v1/tracks/4zPwfUFU8M6W6irqiTMIK1,https://api.spotify.com/v1/audio-analysis/4zPwfUFU8M6W6irqiTMIK1,218099,4
한번만 더,6PCHO0zJjAa7v4ym7D03P1,0.747,0.623,9,-6.649,0,0.036,0.574,0.000353,0.119,0.191,95.005,audio_features,6PCHO0zJjAa7v4ym7D03P1,spotify:track:6PCHO0zJjAa7v4ym7D03P1,https://api.spotify.com/v1/tracks/6PCHO0zJjAa7v4ym7D03P1,https://api.spotify.com/v1/audio-analysis/6PCHO0zJjAa7v4ym7D03P1,335973,4
매일매일,6b3RxRRXvT3wHfDPX9NTdX,0.546,0.739,5,-5.267,1,0.0649,0.177,0.0,0.0635,0.604,138.009,audio_features,6b3RxRRXvT3wHfDPX9NTdX,spotify:track:6b3RxRRXvT3wHfDPX9NTdX,https://api.spotify.com/v1/tracks/6b3RxRRXvT3wHfDPX9NTdX,https://api.spotify.com/v1/audio-analysis/6b3RxRRXvT3wHfDPX9NTdX,232133,4
사랑아 가지마,1r7vjQuQYirU7bzTHHNh9q,0.395,0.723,9,-5.242,0,0.0843,0.25,0.0,0.128,0.348,81.361,audio_features,1r7vjQuQYirU7bzTHHNh9q,spotify:track:1r7vjQuQYirU7bzTHHNh9q,https://api.spotify.com/v1/tracks/1r7vjQuQYirU7bzTHHNh9q,https://api.spotify.com/v1/audio-analysis/1r7vjQuQYirU7bzTHHNh9q,204130,4
"Good Bye Sadness, Hello Happiness",5SZAcEsbb9HrVTsu5kwWMT,0.5,0.481,10,-5.168,1,0.0314,0.53,0.0,0.134,0.104,135.894,audio_features,5SZAcEsbb9HrVTsu5kwWMT,spotify:track:5SZAcEsbb9HrVTsu5kwWMT,https://api.spotify.com/v1/tracks/5SZAcEsbb9HrVTsu5kwWMT,https://api.spotify.com/v1/audio-analysis/5SZAcEsbb9HrVTsu5kwWMT,278779,4
사랑했어요 ,03H6lNsZ62ygXxknHIlqsY,0.624,0.489,4,-6.319,1,0.0536,0.1,6.55e-05,0.335,0.298,141.947,audio_features,03H6lNsZ62ygXxknHIlqsY,spotify:track:03H6lNsZ62ygXxknHIlqsY,https://api.spotify.com/v1/tracks/03H6lNsZ62ygXxknHIlqsY,https://api.spotify.com/v1/audio-analysis/03H6lNsZ62ygXxknHIlqsY,229905,4
아니,0l8VbDj8MO57EE2te9acQ2,0.547,0.483,7,-8.941,0,0.0509,0.436,0.0,0.243,0.254,144.014,audio_features,0l8VbDj8MO57EE2te9acQ2,spotify:track:0l8VbDj8MO57EE2te9acQ2,https://api.spotify.com/v1/tracks/0l8VbDj8MO57EE2te9acQ2,https://api.spotify.com/v1/audio-analysis/0l8VbDj8MO57EE2te9acQ2,256613,3
