title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Crowded Room,House Of Lords,3apDxkryfjWRmzfeOEd3O3,https://cdnimg.melon.co.kr/cm2/album/images/115/47/467/11547467_20240722173559_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.382,0.947,4,-5.897,1,0.0834,9.52e-05,0.0383,0.0734,0.374,159.91,audio_features,3apDxkryfjWRmzfeOEd3O3,spotify:track:3apDxkryfjWRmzfeOEd3O3,https://api.spotify.com/v1/tracks/3apDxkryfjWRmzfeOEd3O3,https://api.spotify.com/v1/audio-analysis/3apDxkryfjWRmzfeOEd3O3,286631,4
Busy everyday,Hiro,6bbOPHnaarLmilrRweoxE0,https://cdnimg.melon.co.kr/cm2/album/images/115/57/438/11557438_20240802144520_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.526,0.595,2,-14.184,1,0.0437,0.0853,0.752,0.136,0.549,137.003,audio_features,6bbOPHnaarLmilrRweoxE0,spotify:track:6bbOPHnaarLmilrRweoxE0,https://api.spotify.com/v1/tracks/6bbOPHnaarLmilrRweoxE0,https://api.spotify.com/v1/audio-analysis/6bbOPHnaarLmilrRweoxE0,106800,4
RASUK ,ERYA,7vRj6imz3aUDSd7Hr0kSHU,https://cdnimg.melon.co.kr/cm2/album/images/115/59/929/11559929_20240806121312_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.555,0.852,1,-7.221,1,0.0342,0.0214,0.187,0.191,0.578,110.032,audio_features,7vRj6imz3aUDSd7Hr0kSHU,spotify:track:7vRj6imz3aUDSd7Hr0kSHU,https://api.spotify.com/v1/tracks/7vRj6imz3aUDSd7Hr0kSHU,https://api.spotify.com/v1/audio-analysis/7vRj6imz3aUDSd7Hr0kSHU,235000,4
Нептун,Midnight,0qMhNg4LuikjMTkCbIanw0,https://cdnimg.melon.co.kr/cm2/album/images/115/58/478/11558478_20240805111243_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.26,0.184,9,-12.903,0,0.0433,0.865,0.868,0.0719,0.0339,58.257,audio_features,0qMhNg4LuikjMTkCbIanw0,spotify:track:0qMhNg4LuikjMTkCbIanw0,https://api.spotify.com/v1/tracks/0qMhNg4LuikjMTkCbIanw0,https://api.spotify.com/v1/audio-analysis/0qMhNg4LuikjMTkCbIanw0,148466,5
Whispers of the Dead,KoNi,7LF0ucxzIwMSoHhlCdsvtN,https://cdnimg.melon.co.kr/cm2/album/images/115/58/476/11558476_20240805111223_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.601,0.192,4,-19.937,0,0.0453,0.863,0.968,0.109,0.116,139.926,audio_features,7LF0ucxzIwMSoHhlCdsvtN,spotify:track:7LF0ucxzIwMSoHhlCdsvtN,https://api.spotify.com/v1/tracks/7LF0ucxzIwMSoHhlCdsvtN,https://api.spotify.com/v1/audio-analysis/7LF0ucxzIwMSoHhlCdsvtN,118062,4
Everybody,DRAMA,1Y0AaV6TlILE10lWFeWPCk,https://cdnimg.melon.co.kr/cm2/album/images/115/55/561/11555561_20240801110622_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.643,0.539,3,-7.234,0,0.104,0.485,0.865,0.124,0.864,76.494,audio_features,1Y0AaV6TlILE10lWFeWPCk,spotify:track:1Y0AaV6TlILE10lWFeWPCk,https://api.spotify.com/v1/tracks/1Y0AaV6TlILE10lWFeWPCk,https://api.spotify.com/v1/audio-analysis/1Y0AaV6TlILE10lWFeWPCk,122548,4
"Dear Maria, Count Me In ",All Time Low,0JJP0IS4w0fJx01EcrfkDe,https://cdnimg.melon.co.kr/cm2/album/images/115/55/058/11555058_20240731110227_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,audio_features,0JJP0IS4w0fJx01EcrfkDe,spotify:track:0JJP0IS4w0fJx01EcrfkDe,https://api.spotify.com/v1/tracks/0JJP0IS4w0fJx01EcrfkDe,https://api.spotify.com/v1/audio-analysis/0JJP0IS4w0fJx01EcrfkDe,182827,4
Light It Up,The Offspring,5Eacz3QIeeB2Q3tix1D8gI,https://cdnimg.melon.co.kr/cm2/album/images/115/55/745/11555745_20240801112829_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.508,0.986,7,-0.994,1,0.116,0.00305,0.0,0.591,0.691,166.99,audio_features,5Eacz3QIeeB2Q3tix1D8gI,spotify:track:5Eacz3QIeeB2Q3tix1D8gI,https://api.spotify.com/v1/tracks/5Eacz3QIeeB2Q3tix1D8gI,https://api.spotify.com/v1/audio-analysis/5Eacz3QIeeB2Q3tix1D8gI,172507,4
Rain Shadow ,Sonagi,2HZIfEAzKUgSGu3p0cpaIs,https://cdnimg.melon.co.kr/cm2/album/images/076/34/120/7634120_20240704093707_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.268,0.924,8,-8.452,1,0.136,0.000545,0.808,0.28,0.188,107.586,audio_features,2HZIfEAzKUgSGu3p0cpaIs,spotify:track:2HZIfEAzKUgSGu3p0cpaIs,https://api.spotify.com/v1/tracks/2HZIfEAzKUgSGu3p0cpaIs,https://api.spotify.com/v1/audio-analysis/2HZIfEAzKUgSGu3p0cpaIs,195018,3
Bad Behavior,Wiri Donna,7yfif7k2Iq2kwgBooCc4U3,https://cdnimg.melon.co.kr/cm2/album/images/076/24/254/7624254_20240703213724_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.419,0.871,1,-3.638,1,0.039,5.29e-06,0.34,0.112,0.245,142.989,audio_features,7yfif7k2Iq2kwgBooCc4U3,spotify:track:7yfif7k2Iq2kwgBooCc4U3,https://api.spotify.com/v1/tracks/7yfif7k2Iq2kwgBooCc4U3,https://api.spotify.com/v1/audio-analysis/7yfif7k2Iq2kwgBooCc4U3,225075,4
