title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
너희가 힙합을 아느냐?,드렁큰 타이거,2XbeVUIpalh7O9FZflpydb,https://cdnimg.melon.co.kr/cm/album/images/000/03/269/3269_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.782,0.838,1,-5.156,1,0.0566,0.0521,0.0,0.359,0.4,102.019,audio_features,2XbeVUIpalh7O9FZflpydb,spotify:track:2XbeVUIpalh7O9FZflpydb,https://api.spotify.com/v1/tracks/2XbeVUIpalh7O9FZflpydb,https://api.spotify.com/v1/audio-analysis/2XbeVUIpalh7O9FZflpydb,220609,4
홈런 ,MC몽,6pFPhMwLeosIKzx9ce9ele,https://cdnimg.melon.co.kr/cm/album/images/003/02/961/302961_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.87,0.8,0,-5.781,1,0.086,0.0862,0.0,0.214,0.926,109.994,audio_features,6pFPhMwLeosIKzx9ce9ele,spotify:track:6pFPhMwLeosIKzx9ce9ele,https://api.spotify.com/v1/tracks/6pFPhMwLeosIKzx9ce9ele,https://api.spotify.com/v1/audio-analysis/6pFPhMwLeosIKzx9ce9ele,199307,4
고래의 꿈 ,바비 킴,3hugzOTS6x125AReMjeZGp,https://cdnimg.melon.co.kr/cm/album/images/000/35/306/35306_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.744,0.86,8,-4.361,1,0.0748,0.0713,0.0,0.346,0.645,91.987,audio_features,3hugzOTS6x125AReMjeZGp,spotify:track:3hugzOTS6x125AReMjeZGp,https://api.spotify.com/v1/tracks/3hugzOTS6x125AReMjeZGp,https://api.spotify.com/v1/audio-analysis/3hugzOTS6x125AReMjeZGp,156507,4
마이동풍,배치기,59SvswsfxIXboMr9cjfn1y,https://cdnimg.melon.co.kr/cm/album/images/003/26/139/326139_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.869,0.842,7,-3.134,1,0.119,0.165,0.0,0.0573,0.96,108.032,audio_features,59SvswsfxIXboMr9cjfn1y,spotify:track:59SvswsfxIXboMr9cjfn1y,https://api.spotify.com/v1/tracks/59SvswsfxIXboMr9cjfn1y,https://api.spotify.com/v1/audio-analysis/59SvswsfxIXboMr9cjfn1y,191573,4
Good Love ,다이나믹 듀오,5Rd9ek42vXTbrmcLbLd8Qn,https://cdnimg.melon.co.kr/cm/album/images/003/92/969/392969_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.482,0.704,4,-5.342,1,0.16,0.275,0.0,0.0884,0.69,82.67,audio_features,5Rd9ek42vXTbrmcLbLd8Qn,spotify:track:5Rd9ek42vXTbrmcLbLd8Qn,https://api.spotify.com/v1/tracks/5Rd9ek42vXTbrmcLbLd8Qn,https://api.spotify.com/v1/audio-analysis/5Rd9ek42vXTbrmcLbLd8Qn,301840,4
리쌍부르쓰 ,리쌍,3zdmfxPe7d9sYO2nQrcRDZ,https://cdnimg.melon.co.kr/cm/album/images/000/31/296/31296_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.552,0.692,5,-7.257,0,0.125,0.158,0.0,0.211,0.633,78.809,audio_features,3zdmfxPe7d9sYO2nQrcRDZ,spotify:track:3zdmfxPe7d9sYO2nQrcRDZ,https://api.spotify.com/v1/tracks/3zdmfxPe7d9sYO2nQrcRDZ,https://api.spotify.com/v1/audio-analysis/3zdmfxPe7d9sYO2nQrcRDZ,205493,4
나를 돌아봐,듀스,3T92e7pbfXFmeOmuGRUneg,https://cdnimg.melon.co.kr/cm/album/images/000/05/251/5251_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.85,0.665,11,-12.925,0,0.0574,0.0396,4.77e-05,0.272,0.96,116.4,audio_features,3T92e7pbfXFmeOmuGRUneg,spotify:track:3T92e7pbfXFmeOmuGRUneg,https://api.spotify.com/v1/tracks/3T92e7pbfXFmeOmuGRUneg,https://api.spotify.com/v1/audio-analysis/3T92e7pbfXFmeOmuGRUneg,225071,4
머피의 법칙,DJ DOC,1jluNkKM91pLupGcS29CPd,https://cdnimg.melon.co.kr/cm/album/images/000/03/260/3260_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.677,0.995,10,-3.038,0,0.0647,0.0361,7.87e-05,0.403,0.809,127.78,audio_features,1jluNkKM91pLupGcS29CPd,spotify:track:1jluNkKM91pLupGcS29CPd,https://api.spotify.com/v1/tracks/1jluNkKM91pLupGcS29CPd,https://api.spotify.com/v1/audio-analysis/1jluNkKM91pLupGcS29CPd,185940,4
하루만,방탄소년단,75SqzI9rTr3MLYaWROLIN8,https://cdnimg.melon.co.kr/cm/album/images/022/56/072/2256072_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.685,0.713,6,-4.705,0,0.266,0.179,0.0,0.377,0.301,95.092,audio_features,75SqzI9rTr3MLYaWROLIN8,spotify:track:75SqzI9rTr3MLYaWROLIN8,https://api.spotify.com/v1/tracks/75SqzI9rTr3MLYaWROLIN8,https://api.spotify.com/v1/audio-analysis/75SqzI9rTr3MLYaWROLIN8,239470,4
새,싸이 ,3J7ZJczjrnWB2jvoYKkrlo,https://cdnimg.melon.co.kr/cm/album/images/000/00/981/981_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.854,0.933,2,-4.341,1,0.109,0.043,0.0,0.449,0.882,119.878,audio_features,3J7ZJczjrnWB2jvoYKkrlo,spotify:track:3J7ZJczjrnWB2jvoYKkrlo,https://api.spotify.com/v1/tracks/3J7ZJczjrnWB2jvoYKkrlo,https://api.spotify.com/v1/audio-analysis/3J7ZJczjrnWB2jvoYKkrlo,193280,4
