title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Therapie - Snippet,AYLo,29xMuDLQhAM1bic3XAT2gK,https://cdnimg.melon.co.kr/cm2/album/images/115/55/491/11555491_20240801093810_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.536,0.478,5,-10.349,0,0.306,0.0375,0.0,0.249,0.49,146.905,audio_features,29xMuDLQhAM1bic3XAT2gK,spotify:track:29xMuDLQhAM1bic3XAT2gK,https://api.spotify.com/v1/tracks/29xMuDLQhAM1bic3XAT2gK,https://api.spotify.com/v1/audio-analysis/29xMuDLQhAM1bic3XAT2gK,228000,4
My Best,Saweetie,3qAMlVUvNZVpxA85pFPxOT,https://cdnimg.melon.co.kr/cm2/album/images/115/52/773/11552773_20240729143856_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.868,0.677,5,-4.917,0,0.0934,0.00668,1.01e-05,0.162,0.503,139.929,audio_features,3qAMlVUvNZVpxA85pFPxOT,spotify:track:3qAMlVUvNZVpxA85pFPxOT,https://api.spotify.com/v1/tracks/3qAMlVUvNZVpxA85pFPxOT,https://api.spotify.com/v1/audio-analysis/3qAMlVUvNZVpxA85pFPxOT,121053,4
LOVE MAKE,YG,308zMDLftUjMlZkODGUWvd,https://cdnimg.melon.co.kr/cm2/album/images/115/54/831/11554831_20240801145756_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.76,0.336,4,-8.927,0,0.0893,0.721,0.0,0.134,0.615,89.914,audio_features,308zMDLftUjMlZkODGUWvd,spotify:track:308zMDLftUjMlZkODGUWvd,https://api.spotify.com/v1/tracks/308zMDLftUjMlZkODGUWvd,https://api.spotify.com/v1/audio-analysis/308zMDLftUjMlZkODGUWvd,214228,4
Big One ,Kaliii,7vWU5bYJk7uHulIfbQrGZK,https://cdnimg.melon.co.kr/cm2/album/images/115/54/748/11554748_20240731102207_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.59,0.745,11,-7.149,1,0.402,0.00821,0.0,0.176,0.655,160.021,audio_features,7vWU5bYJk7uHulIfbQrGZK,spotify:track:7vWU5bYJk7uHulIfbQrGZK,https://api.spotify.com/v1/tracks/7vWU5bYJk7uHulIfbQrGZK,https://api.spotify.com/v1/audio-analysis/7vWU5bYJk7uHulIfbQrGZK,156833,4
We Uh Shoot,"Polo G, Lil Durk",6UTLdGOkbRPJzlU2nPvZlH,https://cdnimg.melon.co.kr/cm2/album/images/115/55/988/11555988_20240801115859_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.687,0.786,8,-5.773,0,0.266,0.171,0.0,0.177,0.624,142.996,audio_features,6UTLdGOkbRPJzlU2nPvZlH,spotify:track:6UTLdGOkbRPJzlU2nPvZlH,https://api.spotify.com/v1/tracks/6UTLdGOkbRPJzlU2nPvZlH,https://api.spotify.com/v1/audio-analysis/6UTLdGOkbRPJzlU2nPvZlH,153843,4
Bad Night,The Cromagnon Band,54WWxqkQuPvunRXZH4IUXL,https://cdnimg.melon.co.kr/cm2/album/images/076/34/050/7634050_20240704093045_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.624,0.645,1,-7.569,0,0.0329,0.0002,0.905,0.363,0.336,106.989,audio_features,54WWxqkQuPvunRXZH4IUXL,spotify:track:54WWxqkQuPvunRXZH4IUXL,https://api.spotify.com/v1/tracks/54WWxqkQuPvunRXZH4IUXL,https://api.spotify.com/v1/audio-analysis/54WWxqkQuPvunRXZH4IUXL,258867,4
Dave Koz In A Convertible,"Kyle McEvoy, goosetaf, Wowflower",2yoZrMDFz3vBRauvunFrmv,https://cdnimg.melon.co.kr/cm2/album/images/076/29/482/7629482_20240704034449_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.831,0.458,7,-8.746,1,0.322,0.231,0.859,0.0622,0.969,79.991,audio_features,2yoZrMDFz3vBRauvunFrmv,spotify:track:2yoZrMDFz3vBRauvunFrmv,https://api.spotify.com/v1/tracks/2yoZrMDFz3vBRauvunFrmv,https://api.spotify.com/v1/audio-analysis/2yoZrMDFz3vBRauvunFrmv,117000,4
"starting, restarting",Luke Beats,3JaCt97DqHE1iuzP22tH0t,https://cdnimg.melon.co.kr/cm2/album/images/076/04/379/7604379_20240702082546_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.56,0.674,5,-9.966,1,0.209,0.048,0.977,0.212,0.521,184.383,audio_features,3JaCt97DqHE1iuzP22tH0t,spotify:track:3JaCt97DqHE1iuzP22tH0t,https://api.spotify.com/v1/tracks/3JaCt97DqHE1iuzP22tH0t,https://api.spotify.com/v1/audio-analysis/3JaCt97DqHE1iuzP22tH0t,147391,4
CIRCLES ,Vikol,3hgTiFjJHrd6UreyPISemZ,https://cdnimg.melon.co.kr/cm2/album/images/075/99/624/7599624_20240702022958_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.718,0.822,0,-7.517,0,0.159,0.483,2.82e-05,0.092,0.824,87.907,audio_features,3hgTiFjJHrd6UreyPISemZ,spotify:track:3hgTiFjJHrd6UreyPISemZ,https://api.spotify.com/v1/tracks/3hgTiFjJHrd6UreyPISemZ,https://api.spotify.com/v1/audio-analysis/3hgTiFjJHrd6UreyPISemZ,182716,4
Welcome Home ,Oliver Walker,7IftJybYnPWOwBb98juRyG,https://cdnimg.melon.co.kr/cm2/album/images/075/98/590/7598590_20240702011117_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.53,0.538,4,-10.122,1,0.0432,0.337,0.0503,0.0966,0.0548,129.983,audio_features,7IftJybYnPWOwBb98juRyG,spotify:track:7IftJybYnPWOwBb98juRyG,https://api.spotify.com/v1/tracks/7IftJybYnPWOwBb98juRyG,https://api.spotify.com/v1/audio-analysis/7IftJybYnPWOwBb98juRyG,208615,4
