title,artist,track_id,track_image,country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Morning of the Lazy Cat,Wooden Chair,7H5TC9hpsTlFH15PSPWkNg,https://cdnimg.melon.co.kr/cm2/album/images/115/58/740/11558740_20240805122205_500.jpg/melon/resize/120/quality/80/optimize,etc,0.723,0.173,10,-21.205,0,0.0527,0.864,0.848,0.0933,0.687,110.029,audio_features,7H5TC9hpsTlFH15PSPWkNg,spotify:track:7H5TC9hpsTlFH15PSPWkNg,https://api.spotify.com/v1/tracks/7H5TC9hpsTlFH15PSPWkNg,https://api.spotify.com/v1/audio-analysis/7H5TC9hpsTlFH15PSPWkNg,211636,4
Steamy Mug Reflections,Relaxing Piano Crew,4mf2AeEFVOEei7tstoMgPR,https://cdnimg.melon.co.kr/cm2/album/images/115/58/688/11558688_20240805115905_500.jpg/melon/resize/120/quality/80/optimize,etc,0.601,0.439,0,-16.899,1,0.0429,0.427,0.952,0.0972,0.738,79.976,audio_features,4mf2AeEFVOEei7tstoMgPR,spotify:track:4mf2AeEFVOEei7tstoMgPR,https://api.spotify.com/v1/tracks/4mf2AeEFVOEei7tstoMgPR,https://api.spotify.com/v1/audio-analysis/4mf2AeEFVOEei7tstoMgPR,194882,3
Sunlit Latte Moments,Relaxing Piano Crew,146pMxmTMuvbePdU2ck1cg,https://cdnimg.melon.co.kr/cm2/album/images/115/58/685/11558685_20240805115813_500.jpg/melon/resize/120/quality/80/optimize,etc,0.465,0.533,7,-14.876,1,0.0367,0.523,0.886,0.128,0.586,79.661,audio_features,146pMxmTMuvbePdU2ck1cg,spotify:track:146pMxmTMuvbePdU2ck1cg,https://api.spotify.com/v1/tracks/146pMxmTMuvbePdU2ck1cg,https://api.spotify.com/v1/audio-analysis/146pMxmTMuvbePdU2ck1cg,156633,4
Bahoot Khoobsoorat Ek Ladki ,"Kishore Kumar, DJ Nitish Gulyani",68TnBDIBZxr4ubOxhzKyCX,https://cdnimg.melon.co.kr/cm2/album/images/115/58/581/11558581_20240805113719_500.jpg/melon/resize/120/quality/80/optimize,etc,0.659,0.534,10,-7.437,1,0.0277,0.0853,4.83e-06,0.084,0.317,92.064,audio_features,68TnBDIBZxr4ubOxhzKyCX,spotify:track:68TnBDIBZxr4ubOxhzKyCX,https://api.spotify.com/v1/tracks/68TnBDIBZxr4ubOxhzKyCX,https://api.spotify.com/v1/audio-analysis/68TnBDIBZxr4ubOxhzKyCX,166624,4
Sal Al Malecón,Roberto Fonseca,0y2N4GqO7pCkQBVSACur8T,https://cdnimg.melon.co.kr/cm2/album/images/115/58/551/11558551_20240805112710_500.jpg/melon/resize/120/quality/80/optimize,etc,0.691,0.5,0,-11.646,0,0.0361,0.776,0.917,0.0931,0.836,100.089,audio_features,0y2N4GqO7pCkQBVSACur8T,spotify:track:0y2N4GqO7pCkQBVSACur8T,https://api.spotify.com/v1/tracks/0y2N4GqO7pCkQBVSACur8T,https://api.spotify.com/v1/audio-analysis/0y2N4GqO7pCkQBVSACur8T,186400,4
Tranquil Harmonies,Pranav Aditya,00KO0OnA1HBmjLjsOtqTMM,https://cdnimg.melon.co.kr/cm2/album/images/115/58/520/11558520_20240805112511_500.jpg/melon/resize/120/quality/80/optimize,etc,0.131,0.151,2,-21.011,1,0.0552,0.969,0.817,0.111,0.0795,65.064,audio_features,00KO0OnA1HBmjLjsOtqTMM,spotify:track:00KO0OnA1HBmjLjsOtqTMM,https://api.spotify.com/v1/tracks/00KO0OnA1HBmjLjsOtqTMM,https://api.spotify.com/v1/audio-analysis/00KO0OnA1HBmjLjsOtqTMM,362912,3
Internal,Rahul Uikey,0jjbdumiw9Cz7FBELB3WIV,https://cdnimg.melon.co.kr/cm2/album/images/115/58/511/11558511_20240805112438_500.jpg/melon/resize/120/quality/80/optimize,etc,0.222,0.187,11,-20.703,1,0.0395,0.927,0.179,0.262,0.036,82.354,audio_features,0jjbdumiw9Cz7FBELB3WIV,spotify:track:0jjbdumiw9Cz7FBELB3WIV,https://api.spotify.com/v1/tracks/0jjbdumiw9Cz7FBELB3WIV,https://api.spotify.com/v1/audio-analysis/0jjbdumiw9Cz7FBELB3WIV,400063,4
Aspice Sursum,Radoslaw Kostecki,7MuJFQdHEMxvyRvr12cx2o,https://cdnimg.melon.co.kr/cm2/album/images/074/52/315/7452315_20240510194926_500.jpg/melon/resize/120/quality/80/optimize,etc,0.341,0.0222,0,-28.054,1,0.0617,0.982,0.897,0.104,0.349,72.193,audio_features,7MuJFQdHEMxvyRvr12cx2o,spotify:track:7MuJFQdHEMxvyRvr12cx2o,https://api.spotify.com/v1/tracks/7MuJFQdHEMxvyRvr12cx2o,https://api.spotify.com/v1/audio-analysis/7MuJFQdHEMxvyRvr12cx2o,300030,4
Morning Sunshine,wade groove,01oLRTjVxgY8eacDzN1No3,https://cdnimg.melon.co.kr/cm2/album/images/115/57/361/11557361_20240802142645_500.jpg/melon/resize/120/quality/80/optimize,etc,0.819,0.551,5,-13.24,1,0.173,0.771,0.852,0.0994,0.802,89.967,audio_features,01oLRTjVxgY8eacDzN1No3,spotify:track:01oLRTjVxgY8eacDzN1No3,https://api.spotify.com/v1/tracks/01oLRTjVxgY8eacDzN1No3,https://api.spotify.com/v1/audio-analysis/01oLRTjVxgY8eacDzN1No3,185519,4
Bossa Q one,Bossa Queens,7JiJ1git11pebxRZUSIVh3,https://cdnimg.melon.co.kr/cm2/album/images/115/56/923/11556923_20240801174342_500.jpg/melon/resize/120/quality/80/optimize,etc,0.722,0.172,7,-19.828,1,0.0874,0.984,0.969,0.111,0.546,89.958,audio_features,7JiJ1git11pebxRZUSIVh3,spotify:track:7JiJ1git11pebxRZUSIVh3,https://api.spotify.com/v1/tracks/7JiJ1git11pebxRZUSIVh3,https://api.spotify.com/v1/audio-analysis/7JiJ1git11pebxRZUSIVh3,128320,4
