title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Don't Look Back ,"SASAKRECT, Fugenn & The White Elephants",22WShaKlgdAXI9uogHWq7D,https://cdnimg.melon.co.kr/cm2/album/images/115/48/545/11548545_20240723181741_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.638,0.755,11,-6.126,0,0.0516,0.096,0.00857,0.103,0.261,117.045,audio_features,22WShaKlgdAXI9uogHWq7D,spotify:track:22WShaKlgdAXI9uogHWq7D,https://api.spotify.com/v1/tracks/22WShaKlgdAXI9uogHWq7D,https://api.spotify.com/v1/audio-analysis/22WShaKlgdAXI9uogHWq7D,322051,4
My Journey,Rui Fujishiro,2Rr4J31nyn71VfjJonHwPl,https://cdnimg.melon.co.kr/cm2/album/images/115/48/532/11548532_20240723181659_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.417,0.0321,10,-22.434,1,0.0389,0.974,0.924,0.0992,0.19,136.528,audio_features,2Rr4J31nyn71VfjJonHwPl,spotify:track:2Rr4J31nyn71VfjJonHwPl,https://api.spotify.com/v1/tracks/2Rr4J31nyn71VfjJonHwPl,https://api.spotify.com/v1/audio-analysis/2Rr4J31nyn71VfjJonHwPl,176000,4
Apple Mint,"Shin-Ski, NA-3LDK",0FONm7LQMxVUWuxDmwLaih,https://cdnimg.melon.co.kr/cm2/album/images/115/36/223/11536223_20240710095659_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.676,0.75,8,-6.432,1,0.0896,0.619,0.714,0.368,0.691,79.992,audio_features,0FONm7LQMxVUWuxDmwLaih,spotify:track:0FONm7LQMxVUWuxDmwLaih,https://api.spotify.com/v1/tracks/0FONm7LQMxVUWuxDmwLaih,https://api.spotify.com/v1/audio-analysis/0FONm7LQMxVUWuxDmwLaih,146923,4
Musangwe,"EVISBEATS, Kazuhiko Maeda",0AqjkApBEth8SqkhAX1LEA,https://cdnimg.melon.co.kr/cm2/album/images/115/28/546/11528546_20240702195553_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.69,0.366,11,-8.208,0,0.305,0.0987,0.858,0.138,0.648,172.057,audio_features,0AqjkApBEth8SqkhAX1LEA,spotify:track:0AqjkApBEth8SqkhAX1LEA,https://api.spotify.com/v1/tracks/0AqjkApBEth8SqkhAX1LEA,https://api.spotify.com/v1/audio-analysis/0AqjkApBEth8SqkhAX1LEA,247917,4
The Rewind Story,Eve,4Y1Bihcs7b4unLD1jZB2Cl,https://cdnimg.melon.co.kr/cm2/album/images/115/53/809/11553809_20240730113915_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.565,0.838,4,-4.756,0,0.138,0.00218,0.0,0.334,0.67,125.992,audio_features,4Y1Bihcs7b4unLD1jZB2Cl,spotify:track:4Y1Bihcs7b4unLD1jZB2Cl,https://api.spotify.com/v1/tracks/4Y1Bihcs7b4unLD1jZB2Cl,https://api.spotify.com/v1/audio-analysis/4Y1Bihcs7b4unLD1jZB2Cl,145454,4
Umbrella ,DK ,0963HFx046s9m7Q37tuGYX,https://cdnimg.melon.co.kr/cm2/album/images/115/55/291/11555291_20240731145748_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.35,0.449,8,-7.688,1,0.0329,0.194,2.03e-05,0.126,0.306,131.412,audio_features,0963HFx046s9m7Q37tuGYX,spotify:track:0963HFx046s9m7Q37tuGYX,https://api.spotify.com/v1/tracks/0963HFx046s9m7Q37tuGYX,https://api.spotify.com/v1/audio-analysis/0963HFx046s9m7Q37tuGYX,216293,4
Aikotoba!,Liella!,5x2CP6plITBIEwMKZ6he8T,https://cdnimg.melon.co.kr/cm2/album/images/115/56/375/11556375_20240801144408_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.58,0.945,7,-3.762,1,0.0813,0.0119,0.0176,0.0347,0.893,172.119,audio_features,5x2CP6plITBIEwMKZ6he8T,spotify:track:5x2CP6plITBIEwMKZ6he8T,https://api.spotify.com/v1/tracks/5x2CP6plITBIEwMKZ6he8T,https://api.spotify.com/v1/audio-analysis/5x2CP6plITBIEwMKZ6he8T,227880,4
TIME FLIES,DJ Uppercut,0br0zez02opZVWbpciI54N,https://cdnimg.melon.co.kr/cm2/album/images/115/56/006/11556006_20240801120052_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.628,0.567,1,-11.426,1,0.0463,0.201,0.804,0.157,0.0396,110.006,audio_features,0br0zez02opZVWbpciI54N,spotify:track:0br0zez02opZVWbpciI54N,https://api.spotify.com/v1/tracks/0br0zez02opZVWbpciI54N,https://api.spotify.com/v1/audio-analysis/0br0zez02opZVWbpciI54N,250500,4
be by your side,Marina,3CgQFQfp0N2fgnI4zhAfiq,https://cdnimg.melon.co.kr/cm2/album/images/115/55/503/11555503_20240801102501_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.655,0.54,2,-7.062,1,0.0422,0.627,0.0,0.379,0.179,93.941,audio_features,3CgQFQfp0N2fgnI4zhAfiq,spotify:track:3CgQFQfp0N2fgnI4zhAfiq,https://api.spotify.com/v1/tracks/3CgQFQfp0N2fgnI4zhAfiq,https://api.spotify.com/v1/audio-analysis/3CgQFQfp0N2fgnI4zhAfiq,256442,4
eden ,sir,59eF6QxMRWpLGlFsKcHR7S,https://cdnimg.melon.co.kr/cm2/album/images/115/55/502/11555502_20240801102457_500.jpg/melon/resize/120/quality/80/optimize,etc,JPOP,0.136,0.159,9,-17.338,1,0.0371,0.897,0.931,0.0892,0.0612,71.86,audio_features,59eF6QxMRWpLGlFsKcHR7S,spotify:track:59eF6QxMRWpLGlFsKcHR7S,https://api.spotify.com/v1/tracks/59eF6QxMRWpLGlFsKcHR7S,https://api.spotify.com/v1/audio-analysis/59eF6QxMRWpLGlFsKcHR7S,210067,4
