title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Dessert,Dawin,3mg29Lwvo673TkDhE3kB9W,https://cdnimg.melon.co.kr/cm/album/images/002/68/811/268811_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.868,0.679,6,-6.941,1,0.0397,0.0799,1.22e-06,0.0504,0.75,97.012,audio_features,3mg29Lwvo673TkDhE3kB9W,spotify:track:3mg29Lwvo673TkDhE3kB9W,https://api.spotify.com/v1/tracks/3mg29Lwvo673TkDhE3kB9W,https://api.spotify.com/v1/audio-analysis/3mg29Lwvo673TkDhE3kB9W,210983,4
Lemon Tree,Fool's Garden,2epbL7s3RFV81K5UhTgZje,https://cdnimg.melon.co.kr/cm/album/images/006/84/952/684952_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.663,0.477,1,-8.839,1,0.0414,0.644,0.0,0.122,0.643,143.173,audio_features,2epbL7s3RFV81K5UhTgZje,spotify:track:2epbL7s3RFV81K5UhTgZje,https://api.spotify.com/v1/tracks/2epbL7s3RFV81K5UhTgZje,https://api.spotify.com/v1/audio-analysis/2epbL7s3RFV81K5UhTgZje,191027,4
Firework,Katy Perry,3lXbHd0EoryoQh3vpevNEP,https://cdnimg.melon.co.kr/cm/album/images/010/06/701/1006701_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.638,0.831,8,-5.039,1,0.049,0.142,0.0,0.113,0.649,124.071,audio_features,3lXbHd0EoryoQh3vpevNEP,spotify:track:3lXbHd0EoryoQh3vpevNEP,https://api.spotify.com/v1/tracks/3lXbHd0EoryoQh3vpevNEP,https://api.spotify.com/v1/audio-analysis/3lXbHd0EoryoQh3vpevNEP,227893,4
Gravity,John Mayer,3SktMqZmo3M9zbB7oKMIF7,https://cdnimg.melon.co.kr/cm/album/images/003/26/896/326896_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,audio_features,3SktMqZmo3M9zbB7oKMIF7,spotify:track:3SktMqZmo3M9zbB7oKMIF7,https://api.spotify.com/v1/tracks/3SktMqZmo3M9zbB7oKMIF7,https://api.spotify.com/v1/audio-analysis/3SktMqZmo3M9zbB7oKMIF7,245827,3
Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,https://cdnimg.melon.co.kr/cm/album/images/000/26/424/26424_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,audio_features,0GjEhVFGZW8afUYGChu3Rr,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400,4
Almost Is Never Enough,Ariana Grande,442j8VxaB60dWf9cBFuX5w,https://cdnimg.melon.co.kr/cm/album/images/021/99/157/2199157_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.324,0.327,2,-7.494,1,0.0409,0.825,0.0,0.101,0.334,81.328,audio_features,442j8VxaB60dWf9cBFuX5w,spotify:track:442j8VxaB60dWf9cBFuX5w,https://api.spotify.com/v1/tracks/442j8VxaB60dWf9cBFuX5w,https://api.spotify.com/v1/audio-analysis/442j8VxaB60dWf9cBFuX5w,327773,4
Gravity,Sara Bareilles,4oa14QBfWRDfJy2agySy0L,https://cdnimg.melon.co.kr/cm/album/images/003/66/361/366361_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,audio_features,4oa14QBfWRDfJy2agySy0L,spotify:track:4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/tracks/4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/audio-analysis/4oa14QBfWRDfJy2agySy0L,232760,4
Skyfall ,Adele,6VObnIkLVruX4UVyxWhlqm,https://cdnimg.melon.co.kr/cm/album/images/021/52/064/2152064_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,audio_features,6VObnIkLVruX4UVyxWhlqm,spotify:track:6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/tracks/6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/audio-analysis/6VObnIkLVruX4UVyxWhlqm,286480,4
You Are Not Alone,Michael Jackson,3AoeaZs8dFemFJr3JdzOL0,https://cdnimg.melon.co.kr/cm/album/images/000/22/330/22330_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.651,0.402,11,-9.303,1,0.028,0.639,7.73e-05,0.0765,0.258,119.873,audio_features,3AoeaZs8dFemFJr3JdzOL0,spotify:track:3AoeaZs8dFemFJr3JdzOL0,https://api.spotify.com/v1/tracks/3AoeaZs8dFemFJr3JdzOL0,https://api.spotify.com/v1/audio-analysis/3AoeaZs8dFemFJr3JdzOL0,345600,4
Now And Forever,Richard Marx,2V2pxcEfn5zs79sE7qcewA,https://cdnimg.melon.co.kr/cm/album/images/000/21/045/21045_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.441,0.258,7,-11.227,1,0.0276,0.661,0.0,0.106,0.172,77.988,audio_features,2V2pxcEfn5zs79sE7qcewA,spotify:track:2V2pxcEfn5zs79sE7qcewA,https://api.spotify.com/v1/tracks/2V2pxcEfn5zs79sE7qcewA,https://api.spotify.com/v1/audio-analysis/2V2pxcEfn5zs79sE7qcewA,214827,1
