title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Can't Feel My Face,The Weeknd,0HehvJvcNHzqCronH48ZLQ,https://cdnimg.melon.co.kr/cm/album/images/023/37/275/2337275_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.611,0.685,9,-6.188,0,0.053,0.0331,0.00954,0.132,0.28,108.002,audio_features,0HehvJvcNHzqCronH48ZLQ,spotify:track:0HehvJvcNHzqCronH48ZLQ,https://api.spotify.com/v1/tracks/0HehvJvcNHzqCronH48ZLQ,https://api.spotify.com/v1/audio-analysis/0HehvJvcNHzqCronH48ZLQ,215587,4
Want To Want Me,Jason Derulo,7oGZAicScQt96OAW4AruYy,https://cdnimg.melon.co.kr/cm/album/images/023/21/440/2321440_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,audio_features,7oGZAicScQt96OAW4AruYy,spotify:track:7oGZAicScQt96OAW4AruYy,https://api.spotify.com/v1/tracks/7oGZAicScQt96OAW4AruYy,https://api.spotify.com/v1/audio-analysis/7oGZAicScQt96OAW4AruYy,207719,4
Set Fire to the Rain,Adele,3di5hcvxxciiqwMH1jarhY,https://cdnimg.melon.co.kr/cm2/album/images/011/73/053/1173053_20240105102559_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,audio_features,3di5hcvxxciiqwMH1jarhY,spotify:track:3di5hcvxxciiqwMH1jarhY,https://api.spotify.com/v1/tracks/3di5hcvxxciiqwMH1jarhY,https://api.spotify.com/v1/audio-analysis/3di5hcvxxciiqwMH1jarhY,242974,4
End Of The Road,Boyz II Men,3l3xTXsUXeWlkPqzMs7mPD,https://cdnimg.melon.co.kr/cm/album/images/003/53/115/353115_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.641,0.428,5,-9.29,0,0.024,0.0666,0.0,0.0579,0.53,149.705,audio_features,3l3xTXsUXeWlkPqzMs7mPD,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,https://api.spotify.com/v1/tracks/3l3xTXsUXeWlkPqzMs7mPD,https://api.spotify.com/v1/audio-analysis/3l3xTXsUXeWlkPqzMs7mPD,351467,3
The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,https://cdnimg.melon.co.kr/cm/album/images/023/37/275/2337275_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,audio_features,7fBv7CLKzipRk6EC6TWHOB,spotify:track:7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,242253,4
Ordinary People,John Legend,2ZA4uMlSZjaoWGFqP1tsLI,https://cdnimg.melon.co.kr/cm/album/images/003/01/637/301637_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.469,0.132,10,-14.001,1,0.0798,0.928,0.0,0.0873,0.36,66.989,audio_features,2ZA4uMlSZjaoWGFqP1tsLI,spotify:track:2ZA4uMlSZjaoWGFqP1tsLI,https://api.spotify.com/v1/tracks/2ZA4uMlSZjaoWGFqP1tsLI,https://api.spotify.com/v1/audio-analysis/2ZA4uMlSZjaoWGFqP1tsLI,281467,3
Pillow Talk,Jeff Bernat,51rnvSxHysVjKU34GWrXmE,https://cdnimg.melon.co.kr/cm/album/images/022/21/047/2221047_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.843,0.58,1,-6.792,0,0.0573,0.298,0.00945,0.217,0.686,139.954,audio_features,51rnvSxHysVjKU34GWrXmE,spotify:track:51rnvSxHysVjKU34GWrXmE,https://api.spotify.com/v1/tracks/51rnvSxHysVjKU34GWrXmE,https://api.spotify.com/v1/audio-analysis/51rnvSxHysVjKU34GWrXmE,222643,4
Back At One,Brian McKnight,6mwA6YiKDjAUG8kWvRRUPh,https://cdnimg.melon.co.kr/cm/album/images/000/00/319/319_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.66,0.347,11,-9.114,1,0.03,0.452,0.0,0.131,0.256,129.747,audio_features,6mwA6YiKDjAUG8kWvRRUPh,spotify:track:6mwA6YiKDjAUG8kWvRRUPh,https://api.spotify.com/v1/tracks/6mwA6YiKDjAUG8kWvRRUPh,https://api.spotify.com/v1/audio-analysis/6mwA6YiKDjAUG8kWvRRUPh,263667,4
Get Ugly,Jason Derulo,1dl3vuXJS9anUXE7XnNP75,https://cdnimg.melon.co.kr/cm/album/images/023/21/440/2321440_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.75,0.683,9,-4.829,0,0.12,0.0462,1.32e-06,0.297,0.539,111.066,audio_features,1dl3vuXJS9anUXE7XnNP75,spotify:track:1dl3vuXJS9anUXE7XnNP75,https://api.spotify.com/v1/tracks/1dl3vuXJS9anUXE7XnNP75,https://api.spotify.com/v1/audio-analysis/1dl3vuXJS9anUXE7XnNP75,200492,4
Run The World ,Beyonce,1uXbwHHfgsXcUKfSZw5ZJ0,https://cdnimg.melon.co.kr/cm/album/images/013/50/352/1350352_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.732,0.899,0,-4.237,1,0.143,0.00496,4.64e-05,0.372,0.759,127.091,audio_features,1uXbwHHfgsXcUKfSZw5ZJ0,spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,https://api.spotify.com/v1/tracks/1uXbwHHfgsXcUKfSZw5ZJ0,https://api.spotify.com/v1/audio-analysis/1uXbwHHfgsXcUKfSZw5ZJ0,236093,4
My All,Mariah Carey,3RSpK5Y0y5tl25qvssrwJ6,https://cdnimg.melon.co.kr/cm/album/images/003/05/872/305872_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.607,0.317,7,-10.244,0,0.029,0.732,4.53e-05,0.086,0.111,108.122,audio_features,3RSpK5Y0y5tl25qvssrwJ6,spotify:track:3RSpK5Y0y5tl25qvssrwJ6,https://api.spotify.com/v1/tracks/3RSpK5Y0y5tl25qvssrwJ6,https://api.spotify.com/v1/audio-analysis/3RSpK5Y0y5tl25qvssrwJ6,230933,4
Loyal ,Chris Brown,5BrTUo0xP1wKXLJWUaGFtk,https://cdnimg.melon.co.kr/cm/album/images/022/84/419/2284419_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 RBSOUL,0.841,0.522,10,-5.963,0,0.049,0.0168,1.37e-06,0.188,0.616,99.059,audio_features,5BrTUo0xP1wKXLJWUaGFtk,spotify:track:5BrTUo0xP1wKXLJWUaGFtk,https://api.spotify.com/v1/tracks/5BrTUo0xP1wKXLJWUaGFtk,https://api.spotify.com/v1/audio-analysis/5BrTUo0xP1wKXLJWUaGFtk,264947,4
