title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Happy Day,0XY1EvCKCCpkHr9TPnYezs,0.6,0.743,7,-4.751,1,0.0263,0.000285,0.0,0.0999,0.646,111.977,audio_features,0XY1EvCKCCpkHr9TPnYezs,spotify:track:0XY1EvCKCCpkHr9TPnYezs,https://api.spotify.com/v1/tracks/0XY1EvCKCCpkHr9TPnYezs,https://api.spotify.com/v1/audio-analysis/0XY1EvCKCCpkHr9TPnYezs,215800,4
Can't Stop,5O6apSTS5u5hWgBfYk1O0Z,0.504,0.747,3,-6.736,0,0.0342,0.278,0.0,0.111,0.312,129.988,audio_features,5O6apSTS5u5hWgBfYk1O0Z,spotify:track:5O6apSTS5u5hWgBfYk1O0Z,https://api.spotify.com/v1/tracks/5O6apSTS5u5hWgBfYk1O0Z,https://api.spotify.com/v1/audio-analysis/5O6apSTS5u5hWgBfYk1O0Z,327444,4
사슬,0fRJdGnpZbrqjA5d14Cbc6,0.501,0.904,9,-0.816,1,0.0475,0.153,0.0,0.0715,0.579,137.93,audio_features,0fRJdGnpZbrqjA5d14Cbc6,spotify:track:0fRJdGnpZbrqjA5d14Cbc6,https://api.spotify.com/v1/tracks/0fRJdGnpZbrqjA5d14Cbc6,https://api.spotify.com/v1/audio-analysis/0fRJdGnpZbrqjA5d14Cbc6,247396,4
나에게로의 초대,36me6gJ2obYpfKc3YKXECM,0.501,0.519,9,-5.933,1,0.0392,0.387,0.0,0.115,0.0798,147.819,audio_features,36me6gJ2obYpfKc3YKXECM,spotify:track:36me6gJ2obYpfKc3YKXECM,https://api.spotify.com/v1/tracks/36me6gJ2obYpfKc3YKXECM,https://api.spotify.com/v1/audio-analysis/36me6gJ2obYpfKc3YKXECM,256026,4
내 마음 깊은 곳의 너,4WdtTm9hiKOn0M0xrr8q7g,0.437,0.398,9,-8.994,1,0.0285,0.598,0.0,0.22,0.219,134.14,audio_features,4WdtTm9hiKOn0M0xrr8q7g,spotify:track:4WdtTm9hiKOn0M0xrr8q7g,https://api.spotify.com/v1/tracks/4WdtTm9hiKOn0M0xrr8q7g,https://api.spotify.com/v1/audio-analysis/4WdtTm9hiKOn0M0xrr8q7g,293414,4
I'm Sorry,5j6DtDtZ84kXFrfcBMT11S,0.714,0.883,0,-2.286,1,0.0433,0.029,0.0,0.172,0.679,131.005,audio_features,5j6DtDtZ84kXFrfcBMT11S,spotify:track:5j6DtDtZ84kXFrfcBMT11S,https://api.spotify.com/v1/tracks/5j6DtDtZ84kXFrfcBMT11S,https://api.spotify.com/v1/audio-analysis/5j6DtDtZ84kXFrfcBMT11S,230424,4
Hello Hello,6H6J8V8NXmXHLDp1AICHhk,0.526,0.908,6,-2.717,0,0.172,0.0806,0.0,0.0622,0.714,199.947,audio_features,6H6J8V8NXmXHLDp1AICHhk,spotify:track:6H6J8V8NXmXHLDp1AICHhk,https://api.spotify.com/v1/tracks/6H6J8V8NXmXHLDp1AICHhk,https://api.spotify.com/v1/audio-analysis/6H6J8V8NXmXHLDp1AICHhk,195944,4
Hooka,6NGZdBo2KRuFfmZVBxavcu,0.585,0.721,2,-4.805,0,0.0334,0.0319,2.08e-06,0.114,0.319,79.948,audio_features,6NGZdBo2KRuFfmZVBxavcu,spotify:track:6NGZdBo2KRuFfmZVBxavcu,https://api.spotify.com/v1/tracks/6NGZdBo2KRuFfmZVBxavcu,https://api.spotify.com/v1/audio-analysis/6NGZdBo2KRuFfmZVBxavcu,224560,4
들었다 놨다,5YT3XzoDU7UiYIap0SKddc,0.62,0.808,0,-5.099,1,0.0656,0.441,0.0,0.177,0.845,91.86,audio_features,5YT3XzoDU7UiYIap0SKddc,spotify:track:5YT3XzoDU7UiYIap0SKddc,https://api.spotify.com/v1/tracks/5YT3XzoDU7UiYIap0SKddc,https://api.spotify.com/v1/audio-analysis/5YT3XzoDU7UiYIap0SKddc,250069,4
그녀의 연인에게,4uNF79VtjMAbnpQKCPn5Oz,0.399,0.474,8,-8.15,1,0.0304,0.29,1.4e-06,0.0989,0.249,140.015,audio_features,4uNF79VtjMAbnpQKCPn5Oz,spotify:track:4uNF79VtjMAbnpQKCPn5Oz,https://api.spotify.com/v1/tracks/4uNF79VtjMAbnpQKCPn5Oz,https://api.spotify.com/v1/audio-analysis/4uNF79VtjMAbnpQKCPn5Oz,290173,4
