title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
China Dream,"David Thanh Cong, Sibylla Hieh",1YHPxiP3AMIdgmwmvGVgOw,https://cdnimg.melon.co.kr/cm2/album/images/115/65/224/11565224_20240812151855_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.615,0.216,9,-17.281,1,0.0319,0.186,0.904,0.135,0.231,81.797,audio_features,1YHPxiP3AMIdgmwmvGVgOw,spotify:track:1YHPxiP3AMIdgmwmvGVgOw,https://api.spotify.com/v1/tracks/1YHPxiP3AMIdgmwmvGVgOw,https://api.spotify.com/v1/audio-analysis/1YHPxiP3AMIdgmwmvGVgOw,208167,3
Small Town USA,Justin Moore,1BK0XfONXUyiTE0rvro2kz,https://cdnimg.melon.co.kr/cm2/album/images/115/62/769/11562769_20240808145244_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.588,0.602,6,-6.003,1,0.0295,0.133,4.22e-06,0.148,0.524,131.957,audio_features,1BK0XfONXUyiTE0rvro2kz,spotify:track:1BK0XfONXUyiTE0rvro2kz,https://api.spotify.com/v1/tracks/1BK0XfONXUyiTE0rvro2kz,https://api.spotify.com/v1/audio-analysis/1BK0XfONXUyiTE0rvro2kz,220320,4
Whispers of the Djinn,Koni,5YuX6an8YmKjRIH2qoK69i,https://cdnimg.melon.co.kr/cm2/album/images/115/58/145/11558145_20240802170845_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.578,0.373,11,-16.739,0,0.0468,0.883,0.866,0.104,0.454,92.007,audio_features,5YuX6an8YmKjRIH2qoK69i,spotify:track:5YuX6an8YmKjRIH2qoK69i,https://api.spotify.com/v1/tracks/5YuX6an8YmKjRIH2qoK69i,https://api.spotify.com/v1/audio-analysis/5YuX6an8YmKjRIH2qoK69i,239997,4
Sorry Mom,Kelsea Ballerini,3zftDSl1HdBPJek75cQwDE,https://cdnimg.melon.co.kr/cm2/album/images/115/62/920/11562920_20240808152601_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.732,0.519,1,-7.895,1,0.0292,0.321,0.0,0.329,0.493,121.979,audio_features,3zftDSl1HdBPJek75cQwDE,spotify:track:3zftDSl1HdBPJek75cQwDE,https://api.spotify.com/v1/tracks/3zftDSl1HdBPJek75cQwDE,https://api.spotify.com/v1/audio-analysis/3zftDSl1HdBPJek75cQwDE,215787,4
Afterlife,Elliot Greer,3kTe09pCTVQGjEwFkfQryf,https://cdnimg.melon.co.kr/cm2/album/images/115/56/188/11556188_20240801142039_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.544,0.628,9,-7.112,1,0.0643,0.637,0.0,0.14,0.266,87.927,audio_features,3kTe09pCTVQGjEwFkfQryf,spotify:track:3kTe09pCTVQGjEwFkfQryf,https://api.spotify.com/v1/tracks/3kTe09pCTVQGjEwFkfQryf,https://api.spotify.com/v1/audio-analysis/3kTe09pCTVQGjEwFkfQryf,172947,4
Shade Tree,Dallas Moore,0ljud6X4t4f0kaQsqthlkz,https://cdnimg.melon.co.kr/cm2/album/images/076/11/626/7611626_20240702235123_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.158,0.483,6,-13.01,0,0.0344,0.915,0.834,0.114,0.894,137.343,audio_features,0ljud6X4t4f0kaQsqthlkz,spotify:track:0ljud6X4t4f0kaQsqthlkz,https://api.spotify.com/v1/tracks/0ljud6X4t4f0kaQsqthlkz,https://api.spotify.com/v1/audio-analysis/0ljud6X4t4f0kaQsqthlkz,117272,4
Opening Ceremony ,Heilung,7hjvk0AGLE710P3F6uBXOT,https://cdnimg.melon.co.kr/cm2/album/images/075/98/603/7598603_20240702011322_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.225,0.357,11,-30.557,0,0.219,0.926,0.0,0.0453,0.0323,132.281,audio_features,7hjvk0AGLE710P3F6uBXOT,spotify:track:7hjvk0AGLE710P3F6uBXOT,https://api.spotify.com/v1/tracks/7hjvk0AGLE710P3F6uBXOT,https://api.spotify.com/v1/audio-analysis/7hjvk0AGLE710P3F6uBXOT,62832,5
Mirage,Amanda Anne Platt & The Honeycutters,5DQdmbWHBHVR4JSZTEl5UL,https://cdnimg.melon.co.kr/cm2/album/images/075/93/403/7593403_20240701175940_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.52,0.49,7,-9.026,1,0.0284,0.551,0.0631,0.313,0.321,109.252,audio_features,5DQdmbWHBHVR4JSZTEl5UL,spotify:track:5DQdmbWHBHVR4JSZTEl5UL,https://api.spotify.com/v1/tracks/5DQdmbWHBHVR4JSZTEl5UL,https://api.spotify.com/v1/audio-analysis/5DQdmbWHBHVR4JSZTEl5UL,272245,4
Enjoy the Ride,Elles Bailey,65TdCBHDqY5xSjziAOB0Tq,https://cdnimg.melon.co.kr/cm2/album/images/075/17/456/7517456_20240627173607_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.465,0.838,8,-7.546,1,0.0557,0.242,0.000319,0.339,0.591,87.8,audio_features,65TdCBHDqY5xSjziAOB0Tq,spotify:track:65TdCBHDqY5xSjziAOB0Tq,https://api.spotify.com/v1/tracks/65TdCBHDqY5xSjziAOB0Tq,https://api.spotify.com/v1/audio-analysis/65TdCBHDqY5xSjziAOB0Tq,218987,4
PUT IT ON MY TAB,Rob Mayes,22trL5NyW25GBSwSa8pcYV,https://cdnimg.melon.co.kr/cm2/album/images/074/94/582/7494582_20240626092600_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.487,0.836,7,-4.875,1,0.0406,0.000142,0.000105,0.278,0.489,152.121,audio_features,22trL5NyW25GBSwSa8pcYV,spotify:track:22trL5NyW25GBSwSa8pcYV,https://api.spotify.com/v1/tracks/22trL5NyW25GBSwSa8pcYV,https://api.spotify.com/v1/audio-analysis/22trL5NyW25GBSwSa8pcYV,166450,4
Where Is Charmander?,Good Good Blood,1H0I3C7t6ask51O33hI29r,https://cdnimg.melon.co.kr/cm2/album/images/074/89/556/7489556_20240626030902_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.166,0.268,2,-16.938,1,0.0412,0.0814,0.964,0.112,0.132,113.259,audio_features,1H0I3C7t6ask51O33hI29r,spotify:track:1H0I3C7t6ask51O33hI29r,https://api.spotify.com/v1/tracks/1H0I3C7t6ask51O33hI29r,https://api.spotify.com/v1/audio-analysis/1H0I3C7t6ask51O33hI29r,81356,3
Devil By A Different Name,Lacy J. Dalton,4AMRInTwcBXMwIcNCjGXCc,https://cdnimg.melon.co.kr/cm2/album/images/115/67/856/11567856_20240814144523_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.591,0.686,5,-12.585,1,0.0335,0.46,0.0,0.182,0.771,99.953,audio_features,4AMRInTwcBXMwIcNCjGXCc,spotify:track:4AMRInTwcBXMwIcNCjGXCc,https://api.spotify.com/v1/tracks/4AMRInTwcBXMwIcNCjGXCc,https://api.spotify.com/v1/audio-analysis/4AMRInTwcBXMwIcNCjGXCc,195000,4
Broken Heart Thing ,Madeline Merlo,72ecTORp2pXeLM5f7ayHI4,https://cdnimg.melon.co.kr/cm2/album/images/115/67/852/11567852_20240814144457_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.543,0.704,4,-3.96,1,0.0325,0.46,0.0,0.0869,0.443,160.015,audio_features,72ecTORp2pXeLM5f7ayHI4,spotify:track:72ecTORp2pXeLM5f7ayHI4,https://api.spotify.com/v1/tracks/72ecTORp2pXeLM5f7ayHI4,https://api.spotify.com/v1/audio-analysis/72ecTORp2pXeLM5f7ayHI4,186520,4
SLUT ME OUT 2 ,"NLE Choppa, J.P.",67tO2wHBfJcVCbYRIYB61r,https://cdnimg.melon.co.kr/cm2/album/images/115/63/889/11563889_20240809094820_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.578,0.779,8,-6.657,1,0.0508,0.0847,0.0,0.222,0.41,128.096,audio_features,67tO2wHBfJcVCbYRIYB61r,spotify:track:67tO2wHBfJcVCbYRIYB61r,https://api.spotify.com/v1/tracks/67tO2wHBfJcVCbYRIYB61r,https://api.spotify.com/v1/audio-analysis/67tO2wHBfJcVCbYRIYB61r,206039,4
Dharma Baby,Brett Dennen,0mDiH04keMTae1etQi0tQi,https://cdnimg.melon.co.kr/cm2/album/images/115/63/205/11563205_20240808162802_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.665,0.72,5,-6.472,1,0.0359,0.269,3.04e-05,0.154,0.865,86.001,audio_features,0mDiH04keMTae1etQi0tQi,spotify:track:0mDiH04keMTae1etQi0tQi,https://api.spotify.com/v1/tracks/0mDiH04keMTae1etQi0tQi,https://api.spotify.com/v1/audio-analysis/0mDiH04keMTae1etQi0tQi,213909,4
Lightning,The Dead Tongues,5pELlmKWNwjKG8qPPcv0dz,https://cdnimg.melon.co.kr/cm2/album/images/115/62/779/11562779_20240808145359_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.338,0.156,7,-12.284,1,0.04,0.943,0.0,0.132,0.391,86.756,audio_features,5pELlmKWNwjKG8qPPcv0dz,spotify:track:5pELlmKWNwjKG8qPPcv0dz,https://api.spotify.com/v1/tracks/5pELlmKWNwjKG8qPPcv0dz,https://api.spotify.com/v1/audio-analysis/5pELlmKWNwjKG8qPPcv0dz,152776,4
Misery And Gin,Layla Tucker,5kuI5Atwr9VYqkqXr5uyGl,https://cdnimg.melon.co.kr/cm2/album/images/115/62/703/11562703_20240808144413_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.626,0.391,3,-6.043,1,0.0292,0.821,6.23e-05,0.128,0.233,72.464,audio_features,5kuI5Atwr9VYqkqXr5uyGl,spotify:track:5kuI5Atwr9VYqkqXr5uyGl,https://api.spotify.com/v1/tracks/5kuI5Atwr9VYqkqXr5uyGl,https://api.spotify.com/v1/audio-analysis/5kuI5Atwr9VYqkqXr5uyGl,191999,4
What I Love About Country,Colin Buchanan,0MQ4czplU3J5Otu2c3j0O3,https://cdnimg.melon.co.kr/cm2/album/images/115/62/624/11562624_20240808142804_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 포크블루스컨트리,0.58,0.65,5,-7.187,1,0.0298,0.458,0.0,0.16,0.535,101.989,audio_features,0MQ4czplU3J5Otu2c3j0O3,spotify:track:0MQ4czplU3J5Otu2c3j0O3,https://api.spotify.com/v1/tracks/0MQ4czplU3J5Otu2c3j0O3,https://api.spotify.com/v1/audio-analysis/0MQ4czplU3J5Otu2c3j0O3,203160,4
