title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Chopin : Ballade No.1 In G Minor Op.23 ,5o29EPFOMuLC48AFEwXYU9,0.332,0.149,7,-20.393,0,0.0443,0.992,0.885,0.0771,0.0626,137.881,audio_features,5o29EPFOMuLC48AFEwXYU9,spotify:track:5o29EPFOMuLC48AFEwXYU9,https://api.spotify.com/v1/tracks/5o29EPFOMuLC48AFEwXYU9,https://api.spotify.com/v1/audio-analysis/5o29EPFOMuLC48AFEwXYU9,564520,3
Haydn : Piano Sonata No.62 In E Flat Major Hob.XVI-52 - I. Allegro ,7DtDU4yQzloJ1ZsU8pV7DY,0.318,0.169,3,-27.342,1,0.0363,0.973,0.919,0.457,0.19,146.839,audio_features,7DtDU4yQzloJ1ZsU8pV7DY,spotify:track:7DtDU4yQzloJ1ZsU8pV7DY,https://api.spotify.com/v1/tracks/7DtDU4yQzloJ1ZsU8pV7DY,https://api.spotify.com/v1/audio-analysis/7DtDU4yQzloJ1ZsU8pV7DY,380366,4
Debussy : Suite Bergamasque L.75 - III. Clair De Lune ,5UoNb0eyKatBPI6ComfRr6,0.422,0.035,1,-25.861,1,0.0401,0.987,0.952,0.0818,0.0597,133.621,audio_features,5UoNb0eyKatBPI6ComfRr6,spotify:track:5UoNb0eyKatBPI6ComfRr6,https://api.spotify.com/v1/tracks/5UoNb0eyKatBPI6ComfRr6,https://api.spotify.com/v1/audio-analysis/5UoNb0eyKatBPI6ComfRr6,292128,5
Clementi : Piano Sonatine In C Major Op.36-3 - I. Spritoso ,1Sen3s5ZWey8HdcXJZb15F,0.622,0.155,7,-27.319,1,0.0328,0.988,0.91,0.142,0.481,107.687,audio_features,1Sen3s5ZWey8HdcXJZb15F,spotify:track:1Sen3s5ZWey8HdcXJZb15F,https://api.spotify.com/v1/tracks/1Sen3s5ZWey8HdcXJZb15F,https://api.spotify.com/v1/audio-analysis/1Sen3s5ZWey8HdcXJZb15F,204768,4
Brahms : Waltz No.15 In A Flat Major Op.39 ,2kgeUTpzWZY02gDNGxCyfa,0.338,0.0896,8,-19.997,1,0.0417,0.988,0.955,0.105,0.112,83.826,audio_features,2kgeUTpzWZY02gDNGxCyfa,spotify:track:2kgeUTpzWZY02gDNGxCyfa,https://api.spotify.com/v1/tracks/2kgeUTpzWZY02gDNGxCyfa,https://api.spotify.com/v1/audio-analysis/2kgeUTpzWZY02gDNGxCyfa,98211,3
Beethoven : Minuet No.2 In G Major WoO.10 ,3kcNU0dOiq1u4sRGq9urKx,0.427,0.136,7,-21.65,1,0.041,0.993,0.909,0.128,0.498,100.637,audio_features,3kcNU0dOiq1u4sRGq9urKx,spotify:track:3kcNU0dOiq1u4sRGq9urKx,https://api.spotify.com/v1/tracks/3kcNU0dOiq1u4sRGq9urKx,https://api.spotify.com/v1/audio-analysis/3kcNU0dOiq1u4sRGq9urKx,149333,3
드뷔시: 달빛,3SMRFbiljCHeWxrUm2YTpz,0.649,0.067,1,-26.831,1,0.0474,0.991,0.928,0.0994,0.0673,130.011,audio_features,3SMRFbiljCHeWxrUm2YTpz,spotify:track:3SMRFbiljCHeWxrUm2YTpz,https://api.spotify.com/v1/tracks/3SMRFbiljCHeWxrUm2YTpz,https://api.spotify.com/v1/audio-analysis/3SMRFbiljCHeWxrUm2YTpz,303177,3
Chopin : Waltz No.10 In B Minor Op.69-2 ,2QmYogHTnthUWDVBXAeWB5,0.576,0.194,11,-21.951,0,0.0452,0.991,0.909,0.171,0.426,130.09,audio_features,2QmYogHTnthUWDVBXAeWB5,spotify:track:2QmYogHTnthUWDVBXAeWB5,https://api.spotify.com/v1/tracks/2QmYogHTnthUWDVBXAeWB5,https://api.spotify.com/v1/audio-analysis/2QmYogHTnthUWDVBXAeWB5,246486,3
Chopin : Ballade No.2 In F Major Op.38 ,3GaFRVXWQsS1TVKI4e9DPt,0.364,0.143,5,-22.167,1,0.0332,0.955,0.931,0.0756,0.0669,125.038,audio_features,3GaFRVXWQsS1TVKI4e9DPt,spotify:track:3GaFRVXWQsS1TVKI4e9DPt,https://api.spotify.com/v1/tracks/3GaFRVXWQsS1TVKI4e9DPt,https://api.spotify.com/v1/audio-analysis/3GaFRVXWQsS1TVKI4e9DPt,389813,4
"Chopin: Polonaise In A Flat Major, Op.53 ",7HuARvTJOKceFNYVP4uUsN,0.583,0.288,8,-16.773,1,0.0299,0.956,0.925,0.109,0.526,130.139,audio_features,7HuARvTJOKceFNYVP4uUsN,spotify:track:7HuARvTJOKceFNYVP4uUsN,https://api.spotify.com/v1/tracks/7HuARvTJOKceFNYVP4uUsN,https://api.spotify.com/v1/audio-analysis/7HuARvTJOKceFNYVP4uUsN,255765,3
