title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Devil,SUPER JUNIOR ,3IQ9FJ2cMVQtger5ZhgCaj,https://cdnimg.melon.co.kr/cm/album/images/023/29/647/2329647_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.773,0.865,4,-3.027,0,0.114,0.133,0.0,0.052,0.968,145.003,audio_features,3IQ9FJ2cMVQtger5ZhgCaj,spotify:track:3IQ9FJ2cMVQtger5ZhgCaj,https://api.spotify.com/v1/tracks/3IQ9FJ2cMVQtger5ZhgCaj,https://api.spotify.com/v1/audio-analysis/3IQ9FJ2cMVQtger5ZhgCaj,216585,4
혼자한 사랑,김현정,7HVpJtP2aTQHooUsUXxZvV,https://cdnimg.melon.co.kr/cm/album/images/000/03/014/3014_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.566,0.988,1,-0.867,1,0.0624,0.00094,1.23e-06,0.111,0.827,139.944,audio_features,7HVpJtP2aTQHooUsUXxZvV,spotify:track:7HVpJtP2aTQHooUsUXxZvV,https://api.spotify.com/v1/tracks/7HVpJtP2aTQHooUsUXxZvV,https://api.spotify.com/v1/audio-analysis/7HVpJtP2aTQHooUsUXxZvV,126960,4
Beautiful,비스트,3NlzcNh6rPwP0FAVXgt8rG,https://cdnimg.melon.co.kr/cm/album/images/010/68/570/1068570_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.652,0.941,10,-1.957,0,0.0564,0.0441,0.0,0.317,0.685,123.03,audio_features,3NlzcNh6rPwP0FAVXgt8rG,spotify:track:3NlzcNh6rPwP0FAVXgt8rG,https://api.spotify.com/v1/tracks/3NlzcNh6rPwP0FAVXgt8rG,https://api.spotify.com/v1/audio-analysis/3NlzcNh6rPwP0FAVXgt8rG,218567,4
Dream Girl,SHINee ,3PrdbYsr8JsDW8f4Tob5pW,https://cdnimg.melon.co.kr/cm/album/images/021/75/668/2175668_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.724,0.939,11,-0.698,0,0.0736,0.0429,0.0,0.304,0.732,124.063,audio_features,3PrdbYsr8JsDW8f4Tob5pW,spotify:track:3PrdbYsr8JsDW8f4Tob5pW,https://api.spotify.com/v1/tracks/3PrdbYsr8JsDW8f4Tob5pW,https://api.spotify.com/v1/audio-analysis/3PrdbYsr8JsDW8f4Tob5pW,180165,4
Midnight ,비스트,4DKxnTFA3YHtpBidQhPuS7,https://cdnimg.melon.co.kr/cm/album/images/021/38/116/2138116_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.697,0.966,8,-2.994,0,0.157,0.0863,0.0,0.113,0.42,125.003,audio_features,4DKxnTFA3YHtpBidQhPuS7,spotify:track:4DKxnTFA3YHtpBidQhPuS7,https://api.spotify.com/v1/tracks/4DKxnTFA3YHtpBidQhPuS7,https://api.spotify.com/v1/audio-analysis/4DKxnTFA3YHtpBidQhPuS7,234240,4
현명한 선택,소찬휘,1YhGLizQ8wq5AYvWFWC0Sp,https://cdnimg.melon.co.kr/cm/album/images/003/32/765/332765_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.607,0.992,1,-2.668,0,0.0453,0.00769,0.0,0.0256,0.917,139.995,audio_features,1YhGLizQ8wq5AYvWFWC0Sp,spotify:track:1YhGLizQ8wq5AYvWFWC0Sp,https://api.spotify.com/v1/tracks/1YhGLizQ8wq5AYvWFWC0Sp,https://api.spotify.com/v1/audio-analysis/1YhGLizQ8wq5AYvWFWC0Sp,189701,4
Zeze,아이유,1dwOTQnBuN8LeVX4jNwJXS,https://cdnimg.melon.co.kr/cm/album/images/026/46/282/2646282_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.771,0.848,11,-1.682,1,0.108,0.27,0.0,0.0873,0.708,93.024,audio_features,1dwOTQnBuN8LeVX4jNwJXS,spotify:track:1dwOTQnBuN8LeVX4jNwJXS,https://api.spotify.com/v1/tracks/1dwOTQnBuN8LeVX4jNwJXS,https://api.spotify.com/v1/audio-analysis/1dwOTQnBuN8LeVX4jNwJXS,190711,4
Black & White,지나,3fvZGpslpQexu8e8AsKgCU,https://cdnimg.melon.co.kr/cm/album/images/011/43/954/1143954_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.777,0.856,1,-1.33,1,0.0784,0.112,0.000836,0.0347,0.656,133.974,audio_features,3fvZGpslpQexu8e8AsKgCU,spotify:track:3fvZGpslpQexu8e8AsKgCU,https://api.spotify.com/v1/tracks/3fvZGpslpQexu8e8AsKgCU,https://api.spotify.com/v1/audio-analysis/3fvZGpslpQexu8e8AsKgCU,208573,4
Dreams Come True,S.E.S.,6whFRgwg7je2SYzpSfansM,https://cdnimg.melon.co.kr/cm/album/images/000/05/407/5407_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.706,0.835,0,-4.357,1,0.0506,0.0813,0.00165,0.336,0.771,93.943,audio_features,6whFRgwg7je2SYzpSfansM,spotify:track:6whFRgwg7je2SYzpSfansM,https://api.spotify.com/v1/tracks/6whFRgwg7je2SYzpSfansM,https://api.spotify.com/v1/audio-analysis/6whFRgwg7je2SYzpSfansM,245773,4
Lucifer,SHINee ,7xAACq6jlGqXw4bNCTYcm6,https://cdnimg.melon.co.kr/cm/album/images/009/66/451/966451_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.75,0.914,11,-1.819,0,0.0518,0.0323,0.0,0.107,0.866,125.034,audio_features,7xAACq6jlGqXw4bNCTYcm6,spotify:track:7xAACq6jlGqXw4bNCTYcm6,https://api.spotify.com/v1/tracks/7xAACq6jlGqXw4bNCTYcm6,https://api.spotify.com/v1/audio-analysis/7xAACq6jlGqXw4bNCTYcm6,233987,4
