title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hoyu,6PP1qCn5kXDntsaA3iFmv2,0.45,0.901,9,-3.418,0,0.116,0.201,0.865,0.0653,0.078,169.975,audio_features,6PP1qCn5kXDntsaA3iFmv2,spotify:track:6PP1qCn5kXDntsaA3iFmv2,https://api.spotify.com/v1/tracks/6PP1qCn5kXDntsaA3iFmv2,https://api.spotify.com/v1/audio-analysis/6PP1qCn5kXDntsaA3iFmv2,163765,4
Music Is The Answer,34hEO0oKLTsn0625kxlUhR,0.603,0.819,9,-7.072,1,0.0323,0.00294,0.00055,0.187,0.365,122.963,audio_features,34hEO0oKLTsn0625kxlUhR,spotify:track:34hEO0oKLTsn0625kxlUhR,https://api.spotify.com/v1/tracks/34hEO0oKLTsn0625kxlUhR,https://api.spotify.com/v1/audio-analysis/34hEO0oKLTsn0625kxlUhR,203049,4
Come on! Don't stop!,5I9IjTKJR3JWU24X8DiW10,0.621,0.675,1,-14.301,1,0.0544,0.0089,0.0547,0.269,0.437,94.96,audio_features,5I9IjTKJR3JWU24X8DiW10,spotify:track:5I9IjTKJR3JWU24X8DiW10,https://api.spotify.com/v1/tracks/5I9IjTKJR3JWU24X8DiW10,https://api.spotify.com/v1/audio-analysis/5I9IjTKJR3JWU24X8DiW10,93480,4
Inner anger,59lMIg7I3uGw1oRlTiJ8mC,0.669,0.881,11,-13.235,1,0.0821,0.388,0.383,0.36,0.945,161.023,audio_features,59lMIg7I3uGw1oRlTiJ8mC,spotify:track:59lMIg7I3uGw1oRlTiJ8mC,https://api.spotify.com/v1/tracks/59lMIg7I3uGw1oRlTiJ8mC,https://api.spotify.com/v1/audio-analysis/59lMIg7I3uGw1oRlTiJ8mC,113840,4
GEMINI ,1xuOHamdG6ehgc1WxeSfvc,0.816,0.83,8,-3.275,0,0.0976,0.0101,0.0901,0.367,0.764,125.999,audio_features,1xuOHamdG6ehgc1WxeSfvc,spotify:track:1xuOHamdG6ehgc1WxeSfvc,https://api.spotify.com/v1/tracks/1xuOHamdG6ehgc1WxeSfvc,https://api.spotify.com/v1/audio-analysis/1xuOHamdG6ehgc1WxeSfvc,157236,4
The New Frontier,5HvLpNVag3DI8cz8N1P9Da,0.604,0.909,1,-4.677,1,0.341,0.00154,0.0632,0.288,0.18,150.014,audio_features,5HvLpNVag3DI8cz8N1P9Da,spotify:track:5HvLpNVag3DI8cz8N1P9Da,https://api.spotify.com/v1/tracks/5HvLpNVag3DI8cz8N1P9Da,https://api.spotify.com/v1/audio-analysis/5HvLpNVag3DI8cz8N1P9Da,232000,4
Salsa House,4fY9ZfRGOXcRfrBkqcRfO6,0.735,0.799,9,-8.068,1,0.0593,0.0102,0.938,0.0686,0.335,123.004,audio_features,4fY9ZfRGOXcRfrBkqcRfO6,spotify:track:4fY9ZfRGOXcRfrBkqcRfO6,https://api.spotify.com/v1/tracks/4fY9ZfRGOXcRfrBkqcRfO6,https://api.spotify.com/v1/audio-analysis/4fY9ZfRGOXcRfrBkqcRfO6,413902,4
Headson [Bensy Radio Mix],54wQlWb1y0fxm59ayFKTH9,0.644,0.918,4,-6.96,0,0.0444,0.0162,0.27,0.0886,0.0732,120.003,audio_features,54wQlWb1y0fxm59ayFKTH9,spotify:track:54wQlWb1y0fxm59ayFKTH9,https://api.spotify.com/v1/tracks/54wQlWb1y0fxm59ayFKTH9,https://api.spotify.com/v1/audio-analysis/54wQlWb1y0fxm59ayFKTH9,204000,4
Let Her Go,3U3ylRKG62HecdbWV0Nm7D,0.62,0.767,1,-7.494,0,0.0316,0.0498,0.187,0.143,0.95,145.963,audio_features,3U3ylRKG62HecdbWV0Nm7D,spotify:track:3U3ylRKG62HecdbWV0Nm7D,https://api.spotify.com/v1/tracks/3U3ylRKG62HecdbWV0Nm7D,https://api.spotify.com/v1/audio-analysis/3U3ylRKG62HecdbWV0Nm7D,182400,4
"Hey, honey",7Ee9W2F0d34VH2EqRQdQxK,0.518,0.541,1,-7.35,1,0.0412,0.284,0.0605,0.0714,0.725,83.991,audio_features,7Ee9W2F0d34VH2EqRQdQxK,spotify:track:7Ee9W2F0d34VH2EqRQdQxK,https://api.spotify.com/v1/tracks/7Ee9W2F0d34VH2EqRQdQxK,https://api.spotify.com/v1/audio-analysis/7Ee9W2F0d34VH2EqRQdQxK,279493,4
Somebody To Love ,1du2SXxshjUGuJhthzkz6U,0.644,0.855,7,-8.595,1,0.0447,0.0235,0.837,0.126,0.555,99.995,audio_features,1du2SXxshjUGuJhthzkz6U,spotify:track:1du2SXxshjUGuJhthzkz6U,https://api.spotify.com/v1/tracks/1du2SXxshjUGuJhthzkz6U,https://api.spotify.com/v1/audio-analysis/1du2SXxshjUGuJhthzkz6U,195894,4
